"Data Import Template"
"Table:","Frappe App"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Frappe App","","","","","","","",""
"Column Labels:","ID","App Name","Title","Category","Badge","Index","Repository URL","URL","Description"
"Column Name:","name","app_name","title","category","badge","idx","repository_url","url","description"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Type:","Data (text)","Data","Data","Select","Select","Int","Small Text","Small Text","Text"
"Info:","","","","One of: Domains, Developer Tools, Integrations, Portal, Regional Extensions","One of: Official, Community, Experimental","Integer","","",""
"Start entering data below this line"
"","""schools""","schools","ERPNext for Schools","Domains","Experimental",3,"https://github.com/frappe/schools","https://frappe.github.io/schools","ERPNext for Schools. Manage students, programs, admissions, schedules, exams and more"
"","""erpnext""","erpnext","ERPNext","Domains","Official",2,"https://github.com/frappe/erpnext","https://github.frappe.io/erpnext","ERP made simple. Open source ERP for small and medium sized businesses"
"","""civil_contracting""","civil_contracting","Civil Contracting","Domains","Community",5,"https://github.com/revant/civil_contracting/","https://revant.github.io/civil_contracting/","Manage wages, workers and measurements for Civil Contracting Business"
"","""s3_backup""","s3_backup","Amazon S3 Backup","Integrations","Community",8,"https://github.com/ccfiel/s3_backup","https://github.com/ccfiel/s3_backup","Use Amazon S3 Backup for Frappe and ERPNext"
"","""jasper_erpnext_report""","jasper_erpnext_report","Jasper Report Integration","Integrations","Community",7,"https://github.com/saguas/jasper_erpnext_report","https://github.com/saguas/jasper_erpnext_report","You can make your reports in Jaspersoft Studio and import them in frappe with this module or send it to JasperReports® Server and get it from there into the framework."
"","""frappe_base_vat""","frappe_base_vat","EU Base VAT Integration for ERPNext","Integrations","Community",6,"https://github.com/saguas/frappe_base_vat","https://github.com/saguas/frappe_base_vat","Automatically verify your Customer's VAT ID (for European Union)"
"","""erpnext_shopify""","erpnext_shopify","ERPNext Shopify Connector","Integrations","Experimental",5,"https://github.com/frappe/erpnext_shopify","https://frappe.github.io/erpnext_shopify","Connect ERPNext with Shopify. Sync items, customers, orders and inventory"
"","""frappe""","frappe","Frappe Framework","Developer Tools","Official",1,"https://github.com/frappe/frappe","https://erpnext.com","Full stack web framework with Python, Javascript, MariaDB, Redis, Node"
